event_id,customer_id,event_date,intent_score,intent_category,intent_reason
5002,1001,2025-12-30,0.0,No signal,Customer reports issue was resolved quickly and satisfactorily without complications.
5003,1001,2026-01-06,0.0,No signal,Customer praised support experience; no mention of dissatisfaction or switching intent.
5004,1002,2026-04-16,1.0,Strong signal,Customer explicitly stated they are actively comparing providers due to contract concerns.
5006,1002,2026-06-25,1.0,Strong signal,Repeated unresolved issues indicate frustration with service quality and support effectiveness.
5009,1003,2026-07-04,0.5,Mild signal,Customer inquiring about billing impact suggests concern about service value and potential dissatisfaction.
5013,1004,2024-09-18,0.5,Mild signal,"Customer questioned contract terms, indicating potential confusion about commitment or value proposition."
5014,1004,2025-03-12,0.0,No signal,Customer praised support quality and resolution; no mention of dissatisfaction or switching intent.
5015,1004,2025-11-03,0.5,Mild signal,"Price increase concern raised, though resolved. Price sensitivity is churn risk factor."
5017,1005,2026-06-19,0.0,No signal,Customer praised support quality and resolution; no mention of dissatisfaction or switching intent.
5018,1005,2026-07-07,0.0,No signal,"Customer had technical issue, received explanation, and appeared satisfied with resolution."
5019,1006,2026-03-26,1.0,Strong signal,Multiple unresolved contacts indicate service failure; escalation suggests frustration threshold approaching churn risk.
5020,1006,2026-05-23,1.0,Strong signal,Long-standing customer expressing feeling undervalued suggests dissatisfaction and potential switching consideration.
5026,1008,2026-06-26,0.5,Mild signal,"Repeated contact about same issue suggests frustration, but no explicit mention of switching."
5027,1008,2026-07-02,0.5,Mild signal,"Hardware issues can drive churn if unresolved quickly, but single complaint insufficient for strong signal."
5030,1009,2026-02-09,1.0,Strong signal,"Customer referenced competitor's cheaper offer, indicating active consideration of switching providers."
5032,1010,2026-01-08,0.5,Mild signal,"Customer inquired about better plans, suggesting openness to alternatives."
5034,1010,2026-06-18,0.5,Mild signal,Unresolved technical issue after first attempt may prompt exploration of alternatives.
5045,1014,2026-03-25,1.0,Strong signal,"Customer referenced competitor's cheaper offer, indicating active consideration of switching providers."
5046,1014,2026-05-18,0.5,Mild signal,"Customer dissatisfied with service handling, but no explicit mention of switching intent."
5047,1014,2026-06-05,0.5,Mild signal,Refund delay indicates service/billing issues that could prompt provider consideration.
5048,1015,2026-06-12,0.0,No signal,Customer praised support quality and resolution speed; no mention of dissatisfaction or switching intent.
5050,1015,2026-06-21,0.5,Mild signal,Customer seeking clarity on charges; unresolved billing issues can drive churn consideration.
5051,1016,2026-05-14,0.0,No signal,Customer confirms issue resolved; no mention of dissatisfaction or switching intent.
5056,1017,2024-10-07,0.5,Mild signal,Unresolved technical issue with dissatisfaction suggests potential frustration but no explicit switching intent.
5058,1017,2026-06-04,0.5,Mild signal,Unresolved technical issue after first attempt suggests potential frustration with service quality.
5059,1018,2025-03-27,0.5,Mild signal,Refund issue indicates service problem; satisfaction contingent on explanation rather than resolution.
5065,1020,2024-10-28,0.5,Mild signal,"Price increase concern raised, though resolved. Price sensitivity is churn risk factor."
5070,1021,2026-01-05,1.0,Strong signal,"Customer explicitly inquired about cancellation process following price increase, indicating serious consideration of leaving."
5072,1021,2026-06-16,1.0,Strong signal,"""At their limit"" indicates customer has reached tolerance threshold for issues."
5074,1022,2026-05-19,0.5,Mild signal,"Price increase concern raised, though resolved. Price sensitivity is churn risk factor."
