event_id,customer_id,event_date,signal_type,detail
5001,1001,2025-10-04,csat_survey,7
5002,1001,2025-12-30,support_ticket,"Asked a quick question about the app crashing repeatedly, resolved without any fuss."
5003,1001,2026-01-06,support_ticket,"Called about slow data speeds, said the support experience was quick and easy."
5004,1002,2026-04-16,support_ticket,Said they're actively comparing providers because of unclear contract terms.
5005,1002,2026-04-30,billing_event,late_payment
5006,1002,2026-06-25,support_ticket,Called again about unclear contract terms - this is the third time it hasn't been resolved.
5007,1003,2026-06-15,csat_survey,8
5008,1003,2026-06-18,billing_event,on_time_payment
5009,1003,2026-07-04,support_ticket,"Asked how the app crashing repeatedly would affect their next bill, no complaints raised."
5010,1004,2024-06-20,billing_event,on_time_payment
5011,1004,2024-07-20,csat_survey,10
5012,1004,2024-09-10,csat_survey,8
5013,1004,2024-09-18,support_ticket,"Mentioned unclear contract terms in passing, seemed satisfied once explained."
5014,1004,2025-03-12,support_ticket,"Called about trouble accessing their account online, said the support experience was quick and easy."
5015,1004,2025-11-03,support_ticket,"Mentioned an unexpected price increase in passing, seemed satisfied once explained."
5016,1005,2026-06-19,csat_survey,10
5017,1005,2026-06-19,support_ticket,"Called about unclear contract terms, said the support experience was quick and easy."
5018,1005,2026-07-07,support_ticket,"Mentioned trouble accessing their account online in passing, seemed satisfied once explained."
5019,1006,2026-03-26,support_ticket,Escalated confusion over plan inclusions after two unresolved prior contacts.
5020,1006,2026-05-23,support_ticket,"Reported an incorrect charge on their statement, said they feel like a long-standing customer isn't valued."
5021,1006,2026-06-27,billing_event,missed_payment
5022,1007,2025-11-17,csat_survey,7
5023,1007,2026-01-21,csat_survey,6
5024,1007,2026-05-13,csat_survey,5
5025,1008,2026-04-02,billing_event,on_time_payment
5026,1008,2026-06-26,support_ticket,Called about unclear contract terms for the second time this month.
5027,1008,2026-07-02,support_ticket,"Asked about a faulty modem/router, sounded a little frustrated but stayed polite."
5028,1009,2025-02-23,billing_event,late_payment
5029,1009,2025-03-01,billing_event,on_time_payment
5030,1009,2026-02-09,support_ticket,"Mentioned a billing error, and referenced a competitor's cheaper offer."
5031,1009,2026-06-23,billing_event,late_payment
5032,1010,2026-01-08,support_ticket,Queried a network outage in their area and asked whether a better plan was available.
5033,1010,2026-02-25,billing_event,late_payment
5034,1010,2026-06-18,support_ticket,"Reported coverage issues at their new address, said the first fix attempt didn't fully work."
5035,1011,2025-05-13,csat_survey,9
5036,1011,2025-06-06,csat_survey,9
5037,1011,2025-11-18,csat_survey,10
5038,1012,2025-07-23,csat_survey,6
5039,1012,2026-01-13,billing_event,on_time_payment
5040,1012,2026-04-06,csat_survey,7
5041,1013,2025-09-15,csat_survey,8
5042,1013,2025-10-08,csat_survey,8
5043,1013,2026-02-16,csat_survey,10
5044,1013,2026-02-20,csat_survey,9
5045,1014,2026-03-25,support_ticket,"Mentioned a billing error, and referenced a competitor's cheaper offer."
5046,1014,2026-05-18,support_ticket,Raised roaming charges from a recent trip and wasn't fully satisfied with how it was handled.
5047,1014,2026-06-05,support_ticket,"Asked about a delayed refund, sounded a little frustrated but stayed polite."
5048,1015,2026-06-12,support_ticket,"Called about an incorrect charge on their statement, said the support experience was quick and easy."
5049,1015,2026-06-12,billing_event,on_time_payment
5050,1015,2026-06-21,support_ticket,"Reached out about roaming charges from a recent trip - nothing urgent, just wanted clarity."
5051,1016,2026-05-14,support_ticket,"Followed up on a network outage in their area from a prior chat, all sorted now."
5052,1016,2026-06-08,csat_survey,8
5053,1016,2026-07-07,billing_event,plan_upgrade
5054,1017,2024-07-08,csat_survey,6
5055,1017,2024-09-22,billing_event,on_time_payment
5056,1017,2024-10-07,support_ticket,Raised the app crashing repeatedly and wasn't fully satisfied with how it was handled.
5057,1017,2025-06-27,csat_survey,4
5058,1017,2026-06-04,support_ticket,"Reported slow data speeds, said the first fix attempt didn't fully work."
5059,1018,2025-03-27,support_ticket,"Mentioned a delayed refund in passing, seemed satisfied once explained."
5060,1018,2025-09-26,csat_survey,10
5061,1018,2026-02-17,billing_event,on_time_payment
5062,1019,2026-06-11,csat_survey,7
5063,1019,2026-06-15,csat_survey,10
5064,1019,2026-07-08,csat_survey,9
5065,1020,2024-10-28,support_ticket,"Mentioned an unexpected price increase in passing, seemed satisfied once explained."
5066,1020,2024-12-14,billing_event,on_time_payment
5067,1020,2026-02-05,csat_survey,7
5068,1020,2026-02-20,csat_survey,9
5069,1020,2026-06-01,billing_event,on_time_payment
5070,1021,2026-01-05,support_ticket,Asked directly what it would take to cancel after ongoing an unexpected price increase.
5071,1021,2026-04-05,csat_survey,4
5072,1021,2026-06-16,support_ticket,"Expressed real frustration over a delayed refund, said they're at their limit."
5073,1022,2026-05-08,billing_event,on_time_payment
5074,1022,2026-05-19,support_ticket,"Mentioned an unexpected price increase in passing, seemed satisfied once explained."
5075,1022,2026-06-21,csat_survey,8
5076,1023,2020-11-19,support_ticket,"Reported an unexpected price increase, said the first fix attempt didn't fully work."
5077,1023,2021-01-14,billing_event,late_payment
5078,1023,2021-11-25,support_ticket,Called about a faulty modem/router for the second time this month.
5079,1023,2022-10-10,csat_survey,4
5080,1023,2023-01-23,support_ticket,Called about slow data speeds for the second time this month.
5081,1023,2023-01-28,billing_event,late_payment
5082,1023,2023-08-23,support_ticket,Raised slow data speeds and wasn't fully satisfied with how it was handled.
5083,1023,2023-11-05,support_ticket,Called about unclear contract terms for the second time this month.
5084,1023,2024-09-17,support_ticket,Called about the app crashing repeatedly for the second time this month.
5085,1023,2025-11-18,support_ticket,"Asked about confusion over plan inclusions, sounded a little frustrated but stayed polite."
5086,1023,2025-12-26,billing_event,on_time_payment
5087,1023,2026-04-14,billing_event,on_time_payment
5088,1024,2021-08-27,billing_event,on_time_payment
5089,1024,2021-11-28,billing_event,late_payment
5090,1024,2021-12-28,csat_survey,4
5091,1024,2023-04-11,billing_event,on_time_payment
5092,1024,2023-04-24,billing_event,on_time_payment
5093,1024,2023-07-12,support_ticket,"Mentioned an incorrect charge on their statement, and referenced a competitor's cheaper offer."
5094,1024,2023-09-01,billing_event,on_time_payment
5095,1024,2023-11-11,billing_event,plan_change
5096,1024,2024-08-24,support_ticket,Raised a network outage in their area and wasn't fully satisfied with how it was handled.
5097,1024,2024-10-27,billing_event,on_time_payment
5098,1024,2025-10-05,support_ticket,"Reported a delayed refund, said the first fix attempt didn't fully work."
5099,1024,2026-07-05,billing_event,on_time_payment
5100,1025,2026-06-12,support_ticket,"Followed up on long wait times reaching support from a prior chat, all sorted now."
5101,1025,2026-06-13,support_ticket,"Followed up on unclear contract terms from a prior chat, all sorted now."
5102,1025,2026-06-14,billing_event,on_time_payment
5103,1026,2025-12-28,csat_survey,5
5104,1026,2026-05-04,billing_event,late_payment
5105,1026,2026-06-11,billing_event,plan_change
5106,1027,2023-02-24,support_ticket,"Asked how dropped calls would affect their next bill, no complaints raised."
5107,1027,2024-04-23,support_ticket,"Mentioned a delayed refund in passing, seemed satisfied once explained."
5108,1027,2024-10-25,support_ticket,"Reached out about a delayed refund - nothing urgent, just wanted clarity."
5109,1027,2025-01-13,csat_survey,7
5110,1027,2025-09-05,support_ticket,"Asked a quick question about dropped calls, resolved without any fuss."
5111,1027,2025-11-09,billing_event,on_time_payment
5112,1027,2026-03-20,csat_survey,7
5113,1027,2026-06-18,billing_event,on_time_payment
5114,1028,2025-01-16,billing_event,plan_change
5115,1028,2026-01-01,support_ticket,"Asked about a faulty modem/router, sounded a little frustrated but stayed polite."
5116,1028,2026-01-16,billing_event,on_time_payment
5117,1028,2026-02-20,csat_survey,6
